# Sample Size: 10000
# Sender wins: 4966 | Cracker wins: 5034
# Sender Average | Rolls: 48.7417 | Sent Encrypted 10.1429 | Removed Token 1.2219
# Cracker Average | Rolls: 48.6816 | Get Encrypted 7.7677 | Get Cracked 8.1126
#
[Round, Winner, Sender(Rolls, SendEncr, RemoveDat), Cracker(Rolls, GetEncr, GetCrac)]
[0, 'Sender', (32, 11, 0), (33, 7, 5)]
[1, 'Sender', (44, 11, 4), (43, 10, 3)]
[2, 'Cracker', (63, 9, 1), (65, 8, 14)]
[3, 'Cracker', (41, 9, 0), (43, 8, 10)]
[4, 'Cracker', (34, 9, 0), (32, 7, 9)]
[5, 'Sender', (79, 11, 7), (77, 11, 13)]
[6, 'Sender', (53, 11, 3), (45, 7, 7)]
[7, 'Sender', (42, 11, 2), (37, 7, 5)]
[8, 'Sender', (44, 11, 0), (44, 6, 10)]
[9, 'Cracker', (47, 9, 0), (46, 6, 8)]
[10, 'Cracker', (44, 10, 1), (43, 8, 6)]
[11, 'Sender', (40, 11, 0), (33, 5, 7)]
[12, 'Sender', (62, 11, 4), (54, 10, 10)]
[13, 'Sender', (45, 11, 0), (44, 6, 8)]
[14, 'Sender', (34, 11, 0), (26, 7, 7)]
[15, 'Sender', (36, 11, 0), (28, 7, 6)]
[16, 'Sender', (39, 11, 0), (44, 5, 8)]
[17, 'Sender', (41, 11, 0), (37, 6, 6)]
[18, 'Cracker', (42, 9, 0), (42, 7, 6)]
[19, 'Cracker', (58, 10, 0), (55, 7, 15)]
[20, 'Sender', (45, 11, 1), (52, 10, 7)]
[21, 'Cracker', (33, 9, 0), (30, 7, 7)]
[22, 'Cracker', (23, 9, 0), (28, 6, 7)]
[23, 'Sender', (48, 11, 1), (39, 8, 3)]
[24, 'Sender', (40, 11, 1), (39, 7, 6)]
[25, 'Sender', (31, 11, 0), (36, 5, 9)]
[26, 'Sender', (45, 11, 0), (41, 7, 7)]
[27, 'Cracker', (46, 10, 0), (46, 9, 9)]
[28, 'Cracker', (34, 9, 0), (40, 6, 9)]
[29, 'Sender', (53, 11, 3), (50, 10, 6)]
[30, 'Sender', (25, 11, 0), (28, 6, 2)]
[31, 'Sender', (58, 11, 0), (53, 8, 9)]
[32, 'Cracker', (51, 10, 3), (49, 10, 9)]
[33, 'Sender', (28, 11, 0), (29, 5, 5)]
[34, 'Sender', (28, 11, 0), (28, 7, 5)]
[35, 'Sender', (32, 11, 1), (25, 6, 4)]
[36, 'Sender', (32, 11, 2), (26, 7, 4)]
[37, 'Sender', (44, 11, 3), (47, 9, 7)]
[38, 'Cracker', (70, 10, 0), (65, 8, 11)]
[39, 'Cracker', (65, 10, 1), (61, 10, 11)]
[40, 'Cracker', (61, 10, 2), (78, 7, 16)]
[41, 'Sender', (51, 11, 0), (54, 5, 9)]
[42, 'Cracker', (57, 10, 2), (59, 11, 8)]
[43, 'Sender', (57, 11, 2), (63, 6, 6)]
[44, 'Sender', (55, 11, 0), (54, 8, 9)]
[45, 'Sender', (29, 11, 0), (30, 6, 2)]
[46, 'Cracker', (47, 10, 0), (51, 7, 10)]
[47, 'Cracker', (58, 10, 1), (54, 10, 7)]
[48, 'Sender', (40, 11, 1), (39, 7, 5)]
[49, 'Sender', (53, 11, 0), (47, 6, 6)]
[50, 'Sender', (55, 11, 3), (53, 7, 10)]
[51, 'Sender', (61, 11, 2), (63, 10, 7)]
[52, 'Sender', (37, 11, 0), (41, 5, 4)]
[53, 'Cracker', (29, 7, 0), (36, 4, 7)]
[54, 'Sender', (35, 11, 0), (42, 5, 3)]
[55, 'Sender', (51, 11, 3), (47, 9, 8)]
[56, 'Sender', (38, 11, 0), (36, 6, 6)]
[57, 'Cracker', (57, 9, 4), (60, 10, 9)]
[58, 'Cracker', (29, 8, 0), (32, 7, 7)]
[59, 'Cracker', (42, 10, 0), (42, 6, 9)]
[60, 'Cracker', (44, 9, 0), (45, 4, 7)]
[61, 'Sender', (38, 11, 6), (35, 10, 2)]
[62, 'Cracker', (55, 10, 0), (57, 7, 11)]
[63, 'Cracker', (68, 9, 1), (69, 9, 12)]
[64, 'Sender', (39, 11, 4), (42, 9, 4)]
[65, 'Cracker', (31, 9, 0), (31, 9, 5)]
[66, 'Cracker', (42, 10, 1), (47, 8, 8)]
[67, 'Cracker', (52, 9, 0), (62, 7, 10)]
[68, 'Sender', (43, 11, 0), (41, 6, 9)]
[69, 'Sender', (52, 11, 1), (61, 7, 8)]
[70, 'Sender', (57, 11, 1), (58, 9, 10)]
[71, 'Sender', (79, 11, 5), (81, 11, 15)]
[72, 'Sender', (65, 11, 2), (59, 8, 10)]
[73, 'Cracker', (66, 10, 0), (65, 9, 9)]
[74, 'Sender', (39, 11, 1), (38, 6, 8)]
[75, 'Sender', (55, 11, 0), (58, 7, 11)]
[76, 'Cracker', (38, 8, 0), (42, 5, 10)]
[77, 'Sender', (95, 11, 8), (80, 13, 11)]
[78, 'Cracker', (32, 9, 0), (33, 6, 9)]
[79, 'Cracker', (28, 10, 0), (34, 7, 6)]
[80, 'Sender', (33, 11, 0), (42, 6, 8)]
[81, 'Cracker', (30, 10, 0), (25, 6, 5)]
[82, 'Cracker', (63, 9, 1), (57, 8, 8)]
[83, 'Cracker', (43, 10, 0), (41, 5, 9)]
[84, 'Sender', (39, 11, 1), (34, 7, 4)]
[85, 'Sender', (53, 11, 1), (44, 5, 6)]
[86, 'Sender', (29, 11, 0), (32, 6, 6)]
[87, 'Sender', (49, 11, 0), (53, 8, 7)]
[88, 'Cracker', (48, 10, 0), (48, 5, 10)]
[89, 'Sender', (46, 11, 0), (45, 7, 7)]
[90, 'Cracker', (104, 10, 5), (96, 13, 11)]
[91, 'Cracker', (45, 10, 0), (40, 6, 8)]
[92, 'Cracker', (40, 10, 0), (40, 8, 8)]
[93, 'Sender', (29, 11, 0), (32, 6, 6)]
[94, 'Sender', (31, 11, 0), (29, 5, 8)]
[95, 'Sender', (36, 11, 0), (43, 6, 8)]
[96, 'Sender', (51, 11, 4), (48, 10, 6)]
[97, 'Sender', (36, 11, 2), (39, 9, 4)]
[98, 'Sender', (66, 11, 3), (64, 9, 8)]
[99, 'Sender', (47, 11, 0), (50, 5, 10)]
[100, 'Cracker', (20, 10, 0), (25, 6, 7)]
[101, 'Sender', (40, 11, 3), (42, 9, 6)]
[102, 'Sender', (44, 11, 0), (42, 6, 8)]
[103, 'Cracker', (82, 10, 7), (84, 15, 15)]
[104, 'Sender', (48, 11, 1), (48, 9, 4)]
[105, 'Sender', (42, 11, 0), (36, 5, 9)]
[106, 'Sender', (45, 11, 0), (43, 7, 9)]
[107, 'Cracker', (33, 10, 0), (22, 4, 10)]
[108, 'Cracker', (50, 9, 0), (44, 8, 8)]
[109, 'Sender', (40, 11, 3), (39, 7, 6)]
[110, 'Cracker', (21, 4, 0), (25, 3, 9)]
[111, 'Cracker', (54, 10, 3), (48, 9, 9)]
[112, 'Cracker', (84, 10, 4), (84, 12, 14)]
[113, 'Cracker', (40, 10, 1), (44, 9, 10)]
[114, 'Cracker', (39, 10, 2), (38, 10, 4)]
[115, 'Sender', (63, 11, 5), (63, 9, 6)]
[116, 'Cracker', (30, 10, 0), (31, 7, 5)]
[117, 'Cracker', (51, 10, 1), (59, 8, 9)]
[118, 'Cracker', (25, 7, 0), (28, 4, 9)]
[119, 'Sender', (34, 11, 0), (33, 7, 3)]
[120, 'Cracker', (40, 9, 0), (39, 6, 8)]
[121, 'Cracker', (65, 10, 1), (65, 7, 12)]
[122, 'Cracker', (34, 10, 0), (36, 7, 8)]
[123, 'Cracker', (20, 9, 0), (22, 6, 7)]
[124, 'Sender', (42, 11, 0), (44, 5, 7)]
[125, 'Sender', (64, 11, 2), (57, 8, 7)]
[126, 'Sender', (79, 11, 4), (75, 13, 8)]
[127, 'Cracker', (44, 10, 1), (43, 8, 8)]
[128, 'Cracker', (55, 10, 2), (54, 11, 8)]
[129, 'Sender', (39, 11, 1), (47, 7, 9)]
[130, 'Sender', (29, 11, 0), (33, 8, 4)]
[131, 'Cracker', (46, 10, 0), (42, 5, 11)]
[132, 'Sender', (44, 11, 2), (41, 10, 10)]
[133, 'Cracker', (88, 10, 4), (88, 12, 8)]
[134, 'Cracker', (39, 9, 0), (41, 7, 5)]
[135, 'Cracker', (24, 9, 0), (29, 6, 6)]
[136, 'Cracker', (52, 10, 2), (54, 10, 7)]
[137, 'Sender', (28, 11, 0), (23, 5, 6)]
[138, 'Sender', (51, 11, 1), (50, 9, 7)]
[139, 'Cracker', (34, 9, 0), (40, 8, 8)]
[140, 'Cracker', (36, 10, 0), (39, 7, 8)]
[141, 'Sender', (44, 11, 0), (48, 7, 8)]
