Sender Roll:  [None] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [] | []
Cracker Roll: [None] | [] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | []

Sender Roll:  [2, 4] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [] | []
Cracker Roll: [None] | [] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | []

Sender Roll:  [6, 2] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [] | []
Cracker Roll: [2, 6] | [] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | []

Sender Roll:  [6, 3] | [2, 3, 4, 5, 6, 7, 8, 10, 11, 12] | [9] | []
Cracker Roll: [1, 6] | [] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | []

Sender Roll:  [1, 3] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [3, 6] | [] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | []

Sender Roll:  [None] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [6, 2] | [] | [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | []

Sender Roll:  [3, 1] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [4, 4] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [3, 6] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [5, 1] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [None] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [3, 5] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [3, 1] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [4, 4] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [3, 5] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [6, 3] | [2, 3, 5, 6, 7, 8, 10, 11, 12] | [4] | [9]
Cracker Roll: [2, 1] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [1, 2] | [2, 5, 6, 7, 8, 10, 11, 12] | [4] | [9, 3]
Cracker Roll: [1, 2] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [6, 4] | [2, 5, 6, 7, 8, 11, 12] | [4] | [9, 3, 10]
Cracker Roll: [6, 4] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 12] | [2]

Sender Roll:  [1, 5] | [2, 5, 6, 7, 8, 11, 12] | [4] | [9, 3, 10]
